,Title,Link,Snippet
95,Specifying distributed software architectures,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6677b147ee4f1802cb42ba5ad81f2d37d62ed532,"… This is the level of the design which deals with the high-level organisation of computational 
elements and the interactions between those elements. The paper presents the Darwin …"
96,The GREENSOFT Model: A reference model for green and sustainable software and its engineering,https://www.umwelt-campus.de/fileadmin/Umwelt-Campus/Greensoft/The_GREENSOFT_Model_A_reference_model_fo.pdf,"… the area of computer software and software process models. … Software” and “Green and 
Sustainable Software Engineering”, … for software products, sustainability metrics and criteria for …"
97,Interactive foundations of computing,https://www.sciencedirect.com/science/article/pii/S0304397597001540/pdf?md5=b6d0e1557ddaf949bc10f249723a2aa8&pid=1-s2.0-S0304397597001540-main.pdf&_valck=1,"… for closed finite environments is a challenging research problem, interactive object-oriented 
and agent-oriented models of software engineering and Al are inherently nonalgorithmic. …"
98,An overview of soft computing,https://www.sciencedirect.com/science/article/pii/S1877050916325467/pdf?md5=63ac2b9f91024b9dc01b8a5595234d41&pid=1-s2.0-S1877050916325467-main.pdf&_valck=1,"… computing, as opposed to traditional computing, deals with approximate models and gives 
solutions to complex real-life problems. Unlike hard computing, soft computing … soft computing …"
99,On the naturalness of software,https://dl.acm.org/doi/pdf/10.1145/2902362,"… Indeed there are a great many potential applications to software engineering … computational 
linguistics. We offer evidence supporting an analogous claim for software: though software …"
100,On agent-based software engineering,https://www.sciencedirect.com/science/article/pii/S0004370299001071/pdf?md5=34b0d4b69aa138c15f8d16ca9388dfcd&pid=1-s2.0-S0004370299001071-main.pdf,"… agent-based computing as a serious software engineering … into more traditional software 
engineering concepts. From here, … range of contemporary approaches to software engineering. …"
101,Teaching computational thinking using agile software engineering methods: A framework for middle schools,https://www.researchgate.net/profile/Ilenia-Fronza/publication/319287037_Teaching_Computational_Thinking_Using_Agile_Software_Engineering_Methods_A_Framework_for_Middle_Schools/links/5beda384a6fdcc3a8dd99eaa/Teaching-Computational-Thinking-Using-Agile-Software-Engineering-Methods-A-Framework-for-Middle-Schools.pdf,"… The framework is based on Agile software engineering … The results show that Agile software 
engineering methods are … potential product before using the software tools at hand. Moreover…"
102,[BOOK][B] Experimentation in software engineering,https://enos.itcollege.ee/~edmund/diplomitoo/ethics.pdf,"… Experiments are valuable tools for all software engineers who … software engineering since 
the previous edition's publication. … His focus is system-wide architectures and future computing …"
103,[PDF][PDF] Context and adaptivity in pervasive computing environments: Links with software engineering and ontological engineering.,https://lirias.kuleuven.be/retrieve/114150,"… However approaches presented in the current literature of pervasive computing did not 
really manage to go beyond the borders of traditional computing and software engineering, …"
104,"[BOOK][B] Numerical computation 1: methods, software, and analysis",https://books.google.com/books?hl=en&lr=&id=giH7CAAAQBAJ&oi=fnd&pg=PA1&dq=Software+Engineering+in+computation&ots=DwMDJ3bFtb&sig=Cd10aNUW3LAlzcmuPEovZ4bvWXY,"… of building and using models resembles the development process of computer software 
as expressed, for instance, in the waterfall model or the spiral model of software engineering.3 …"
